projeto,entidade,metrica,resposta
axion-1.0-M2,org.axiondb.types.FileLobLocatorFactory,5,f
axion-1.0-M2,org.axiondb.types.FileOffsetLobLocatorFactory,6,f
axion-1.0-M2,org.axiondb.types.LOBType,6,f
axion-1.0-M2,org.axiondb.engine.MemoryTableFactory,4,f
axion-1.0-M2,org.axiondb.engine.BTreeIndexFactory,5,f
axion-1.0-M2,org.axiondb.engine.DiskTableFactory,4,f
axion-1.0-M2,org.axiondb.engine.ArrayIndexFactory,4,f
axion-1.0-M2,org.axiondb.jdbc.ConnectionFactory,3,f
axion-1.0-M2,org.axiondb.Database,5,f
axion-1.0-M2,org.axiondb.engine.MemoryDatabase,3,f
axion-1.0-M2,org.axiondb.engine.DiskDatabase,3,f
collections-3.2.1,org.apache.commons.collections.functors.PrototypeFactory$PrototypeSerializationFactory,4,f
collections-3.2.1,org.apache.commons.collections.map.TypedMap,4,f
collections-3.2.1,org.apache.commons.collections.map.MultiValueMap,6,f
collections-3.2.1,org.apache.commons.collections.map.UnmodifiableOrderedMap,5,f
collections-3.2.1,org.apache.commons.collections.list.SetUniqueList,5,f
collections-3.2.1,org.apache.commons.collections.functors.TransformerPredicate,4,f
collections-3.2.1,org.apache.commons.collections.functors.ForClosure,2,f
collections-3.2.1,org.apache.commons.collections.functors.PrototypeFactory$PrototypeCloneFactory,4,f
collections-3.2.1,org.apache.commons.collections.list.TransformedList,5,f
collections-3.2.1,org.apache.commons.collections.map.LazySortedMap,5,f
collections-3.2.1,org.apache.commons.collections.bidimap.UnmodifiableBidiMap,5,f
collections-3.2.1,org.apache.commons.collections.functors.WhileClosure,4,f
collections-3.2.1,org.apache.commons.collections.set.PredicatedSet,6,f
collections-3.2.1,org.apache.commons.collections.list.PredicatedList,7,f
collections-3.2.1,org.apache.commons.collections.bag.TransformedSortedBag,5,f
collections-3.2.1,org.apache.commons.collections.functors.NullIsTruePredicate,5,f
collections-3.2.1,org.apache.commons.collections.functors.AndPredicate,3,f
collections-3.2.1,org.apache.commons.collections.list.SynchronizedList,3,f
collections-3.2.1,org.apache.commons.collections.set.UnmodifiableSortedSet,4,f
collections-3.2.1,org.apache.commons.collections.functors.NotPredicate,3,f
collections-3.2.1,org.apache.commons.collections.functors.ChainedClosure,4,f
collections-3.2.1,org.apache.commons.collections.Factory,2,f
collections-3.2.1,org.apache.commons.collections.set.SynchronizedSortedSet,4,f
collections-3.2.1,org.apache.commons.collections.functors.AllPredicate,6,f
collections-3.2.1,org.apache.commons.collections.functors.SwitchClosure,5,f
collections-3.2.1,org.apache.commons.collections.bag.UnmodifiableSortedBag,4,f
collections-3.2.1,org.apache.commons.collections.map.FixedSizeMap,5,f
collections-3.2.1,org.apache.commons.collections.set.TypedSortedSet,5,f
collections-3.2.1,org.apache.commons.collections.functors.ClosureTransformer,3,f
collections-3.2.1,org.apache.commons.collections.map.DefaultedMap,7,f
collections-3.2.1,org.apache.commons.collections.list.LazyList,3,f
collections-3.2.1,org.apache.commons.collections.map.LazyMap,4,f
collections-3.2.1,org.apache.commons.collections.bag.TypedBag,4,f
collections-3.2.1,org.apache.commons.collections.collection.UnmodifiableBoundedCollection,5,f
collections-3.2.1,org.apache.commons.collections.functors.FactoryTransformer,3,f
collections-3.2.1,org.apache.commons.collections.functors.ChainedTransformer,4,f
collections-3.2.1,org.apache.commons.collections.functors.IdentityPredicate,4,f
collections-3.2.1,org.apache.commons.collections.map.UnmodifiableMap,4,f
collections-3.2.1,org.apache.commons.collections.buffer.BlockingBuffer,5,f
collections-3.2.1,org.apache.commons.collections.buffer.UnmodifiableBuffer,3,f
collections-3.2.1,org.apache.commons.collections.collection.SynchronizedCollection,4,f
collections-3.2.1,org.apache.commons.collections.functors.NullIsExceptionPredicate,5,f
collections-3.2.1,org.apache.commons.collections.map.UnmodifiableEntrySet,4,f
collections-3.2.1,org.apache.commons.collections.set.TransformedSet,4,f
collections-3.2.1,org.apache.commons.collections.set.ListOrderedSet,5,f
collections-3.2.1,org.apache.commons.collections.bag.TransformedBag,5,f
collections-3.2.1,org.apache.commons.collections.set.UnmodifiableSet,3,f
collections-3.2.1,org.apache.commons.collections.functors.TransformedPredicate,4,f
collections-3.2.1,org.apache.commons.collections.functors.NullIsFalsePredicate,5,f
collections-3.2.1,org.apache.commons.collections.map.TransformedMap,3,f
collections-3.2.1,org.apache.commons.collections.functors.ConstantFactory,3,f
collections-3.2.1,org.apache.commons.collections.buffer.BoundedBuffer,5,f
collections-3.2.1,org.apache.commons.collections.functors.InstantiateFactory,4,f
collections-3.2.1,org.apache.commons.collections.collection.TypedCollection,5,f
collections-3.2.1,org.apache.commons.collections.set.SynchronizedSet,3,f
collections-3.2.1,org.apache.commons.collections.set.MapBackedSet,5,f
collections-3.2.1,org.apache.commons.collections.bag.SynchronizedBag,3,f
collections-3.2.1,org.apache.commons.collections.set.TypedSet,4,f
collections-3.2.1,org.apache.commons.collections.buffer.TypedBuffer,4,f
collections-3.2.1,org.apache.commons.collections.buffer.SynchronizedBuffer,3,f
collections-3.2.1,org.apache.commons.collections.functors.OrPredicate,3,f
collections-3.2.1,org.apache.commons.collections.map.UnmodifiableSortedMap,5,f
collections-3.2.1,org.apache.commons.collections.buffer.PredicatedBuffer,6,f
collections-3.2.1,org.apache.commons.collections.buffer.TransformedBuffer,4,f
collections-3.2.1,org.apache.commons.collections.map.TypedSortedMap,5,f
collections-3.2.1,org.apache.commons.collections.map.MultiValueMap$ReflectionFactory,3,f
collections-3.2.1,org.apache.commons.collections.functors.MapTransformer,4,f
collections-3.2.1,org.apache.commons.collections.functors.EqualPredicate,4,f
collections-3.2.1,org.apache.commons.collections.functors.OnePredicate,6,f
collections-3.2.1,org.apache.commons.collections.FactoryUtils,3,f
collections-3.2.1,org.apache.commons.collections.collection.TransformedCollection,5,f
collections-3.2.1,org.apache.commons.collections.bag.PredicatedSortedBag,7,f
collections-3.2.1,org.apache.commons.collections.bag.UnmodifiableBag,3,f
collections-3.2.1,org.apache.commons.collections.bidimap.UnmodifiableOrderedBidiMap,6,f
collections-3.2.1,org.apache.commons.collections.TransformerUtils,4,f
collections-3.2.1,org.apache.commons.collections.map.PredicatedSortedMap,7,f
collections-3.2.1,org.apache.commons.collections.comparators.BooleanComparator,7,f
collections-3.2.1,org.apache.commons.collections.collection.PredicatedCollection,8,f
collections-3.2.1,org.apache.commons.collections.map.ListOrderedMap,6,f
collections-3.2.1,org.apache.commons.collections.bag.SynchronizedSortedBag,4,f
collections-3.2.1,org.apache.commons.collections.set.TransformedSortedSet,5,f
collections-3.2.1,org.apache.commons.collections.map.FixedSizeSortedMap,7,f
collections-3.2.1,org.apache.commons.collections.map.PredicatedMap,6,f
collections-3.2.1,org.apache.commons.collections.functors.ConstantTransformer,3,f
collections-3.2.1,org.apache.commons.collections.set.PredicatedSortedSet,7,f
collections-3.2.1,org.apache.commons.collections.functors.PrototypeFactory,4,f
collections-3.2.1,org.apache.commons.collections.list.UnmodifiableList,3,f
collections-3.2.1,org.apache.commons.collections.functors.AnyPredicate,6,f
collections-3.2.1,org.apache.commons.collections.map.TransformedSortedMap,6,f
collections-3.2.1,org.apache.commons.collections.list.FixedSizeList,4,f
collections-3.2.1,org.apache.commons.collections.bidimap.UnmodifiableSortedBidiMap,6,f
collections-3.2.1,org.apache.commons.collections.collection.UnmodifiableCollection,4,f
collections-3.2.1,org.apache.commons.collections.bag.TypedSortedBag,5,f
collections-3.2.1,org.apache.commons.collections.functors.TransformerClosure,3,f
collections-3.2.1,org.apache.commons.collections.functors.SwitchTransformer,5,f
galleon-2.3.0,org.lnicholls.galleon.togo.TiVoSSLProtocolSocketFactory,1,f
galleon-2.3.0,org.lnicholls.galleon.app.AppFactory,1,f
galleon-2.3.0,org.lnicholls.galleon.util.DummySSLSocketFactory,5,f
galleon-2.3.0,org.lnicholls.galleon.apps.jabber.Jabber$JabberFactory,3,f
informa-0.7.0-alpha2,de.nava.informa.utils.poller.Poller$PollerThreadFactory,4,f
informa-0.7.0-alpha2,de.nava.informa.utils.cleaner.Cleaner$CleanerThreadFactory,3,f
informa-0.7.0-alpha2,de.nava.informa.impl.basic.ChannelBuilder,6,f
jext-5.0,org.jext.gui.BundledSkinFactory,6,f
marauroa-3.8.1,marauroa.server.db.AdapterFactory,1,f
marauroa-3.8.1,marauroa.server.game.rp.RPObjectFactory,5,f
marauroa-3.8.1,marauroa.common.net.MessageFactory,4,f
marauroa-3.8.1,marauroa.server.game.db.RPObjectDAO,5,f
pmd-4.2.5,net.sourceforge.pmd.RuleSetFactory,6,f
pmd-4.2.5,net.sourceforge.pmd.sourcetypehandlers.JavaTypeHandler,4,f
pmd-4.2.5,net.sourceforge.pmd.sourcetypehandlers.SourceTypeHandlerBroker,3,f
pmd-4.2.5,net.sourceforge.pmd.cpd.LanguageFactory,1,f
