projeto,entidade,metrica,resposta
axion-1.0-M2,org.axiondb.jdbc.ConnectionFactory,3,f
axion-1.0-M2,org.axiondb.Database,5,f
axion-1.0-M2,org.axiondb.engine.MemoryDatabase,3,f
axion-1.0-M2,org.axiondb.engine.DiskDatabase,3,f
collections-3.2.1,org.apache.commons.collections.collection.TransformedCollection,5,f
collections-3.2.1,org.apache.commons.collections.bag.PredicatedSortedBag,7,f
collections-3.2.1,org.apache.commons.collections.bag.UnmodifiableBag,3,f
collections-3.2.1,org.apache.commons.collections.bidimap.UnmodifiableOrderedBidiMap,6,f
collections-3.2.1,org.apache.commons.collections.TransformerUtils,4,f
collections-3.2.1,org.apache.commons.collections.map.PredicatedSortedMap,7,f
collections-3.2.1,org.apache.commons.collections.comparators.BooleanComparator,7,f
collections-3.2.1,org.apache.commons.collections.collection.PredicatedCollection,8,f
collections-3.2.1,org.apache.commons.collections.map.ListOrderedMap,6,f
collections-3.2.1,org.apache.commons.collections.bag.SynchronizedSortedBag,4,f
collections-3.2.1,org.apache.commons.collections.set.TransformedSortedSet,5,f
collections-3.2.1,org.apache.commons.collections.map.FixedSizeSortedMap,7,f
collections-3.2.1,org.apache.commons.collections.map.PredicatedMap,6,f
collections-3.2.1,org.apache.commons.collections.functors.ConstantTransformer,3,f
collections-3.2.1,org.apache.commons.collections.set.PredicatedSortedSet,7,f
collections-3.2.1,org.apache.commons.collections.functors.PrototypeFactory,4,f
collections-3.2.1,org.apache.commons.collections.list.UnmodifiableList,3,f
collections-3.2.1,org.apache.commons.collections.functors.AnyPredicate,6,f
collections-3.2.1,org.apache.commons.collections.map.TransformedSortedMap,6,f
collections-3.2.1,org.apache.commons.collections.list.FixedSizeList,4,f
collections-3.2.1,org.apache.commons.collections.bidimap.UnmodifiableSortedBidiMap,6,f
collections-3.2.1,org.apache.commons.collections.collection.UnmodifiableCollection,4,f
collections-3.2.1,org.apache.commons.collections.bag.TypedSortedBag,5,f
collections-3.2.1,org.apache.commons.collections.functors.TransformerClosure,3,f
collections-3.2.1,org.apache.commons.collections.functors.SwitchTransformer,5,f
galleon-2.3.0,org.lnicholls.galleon.apps.jabber.Jabber$JabberFactory,3,f
informa-0.7.0-alpha2,de.nava.informa.utils.poller.Poller$PollerThreadFactory,4,f
informa-0.7.0-alpha2,de.nava.informa.utils.cleaner.Cleaner$CleanerThreadFactory,3,f
informa-0.7.0-alpha2,de.nava.informa.impl.basic.ChannelBuilder,6,f
marauroa-3.8.1,marauroa.server.game.db.RPObjectDAO,5,f
pmd-4.2.5,net.sourceforge.pmd.sourcetypehandlers.SourceTypeHandlerBroker,3,f
pmd-4.2.5,net.sourceforge.pmd.cpd.LanguageFactory,1,f
quickserver-1.4.7,org.quickserver.util.pool.ClientHandlerObjectFactory,6,f
quickserver-1.4.7,org.quickserver.net.server.PoolManager,1,f
quickserver-1.4.7,org.quickserver.util.pool.PoolableObject,4,f
quickserver-1.4.7,org.quickserver.security.SecureStoreManager,4,f
xalan-2.7.1,org.apache.xalan.xsltc.trax.SmartTransformerFactoryImpl,4,f
xalan-2.7.1,org.apache.xalan.xsltc.trax.TransformerFactoryImpl,12,f
xalan-2.7.1,org.apache.xalan.processor.TransformerFactoryImpl,8,f
xalan-2.7.1,org.apache.xalan.xsltc.dom.CollatorFactoryBase,4,f
xalan-2.7.1,org.apache.xpath.axes.WalkerFactory,7,f
xalan-2.7.1,org.apache.xml.dtm.ref.DTMDefaultBaseTraversers,9,f
xalan-2.7.1,org.apache.xml.serializer.OutputPropertiesFactory,10,f
xalan-2.7.1,org.apache.xalan.xsltc.compiler.ObjectFactory,4,f
xerces-2.10.0,org.apache.xerces.dom.EntityImpl,5,f
xerces-2.10.0,org.apache.xerces.impl.xs.identity.Field,3,f
xerces-2.10.0,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,9,f
xerces-2.10.0,org.apache.xerces.impl.dv.dtd.XML11DTDDVFactoryImpl,9,f
xerces-2.10.0,org.apache.xerces.impl.dv.ObjectFactory,4,f
