projeto,entidade,metrica,resposta
axion-1.0-M2,org.axiondb.DataTypeFactory,4,t
collections-3.2.1,org.apache.commons.collections.map.TestDefaultedMap,4,t
collections-3.2.1,org.apache.commons.collections.functors.ExceptionFactory,4,t
collections-3.2.1,org.apache.commons.collections.functors.ExceptionClosure,4,t
collections-3.2.1,org.apache.commons.collections.TestMapUtils,6,t
collections-3.2.1,org.apache.commons.collections.functors.NOPTransformer,4,t
collections-3.2.1,org.apache.commons.collections.iterators.TestArrayIterator2,5,t
collections-3.2.1,org.apache.commons.collections.MapUtils,9,t
collections-3.2.1,org.apache.commons.collections.functors.NonePredicate,7,t
collections-3.2.1,org.apache.commons.collections.map.TestLazyMap,4,t
collections-3.2.1,org.apache.commons.collections.functors.CloneTransformer,4,t
galleon-2.3.0,org.lnicholls.galleon.apps.videocasting.Videocasting$VideocastingFactory,1,t
galleon-2.3.0,org.lnicholls.galleon.apps.menu.Menu$MenuFactory,3,t
galleon-2.3.0,org.lnicholls.galleon.apps.music.Music$MusicFactory,3,t
galleon-2.3.0,org.lnicholls.galleon.apps.playlists.Playlists$PlaylistsFactory,3,t
informa-0.7.0-alpha2,de.nava.informa.impl.hibernate.SessionHandler,6,t
informa-0.7.0-alpha2,de.nava.informa.utils.toolkit.WorkersManager,4,t
informa-0.7.0-alpha2,de.nava.informa.utils.RSS100Settings,3,t
jext-5.0,org.jext.gui.SkinFactory,3,t
jext-5.0,org.jext.misc.FindAccessory$FindTabs,4,t
jgraph-5.13.0.0,org.jgraph.graph.CellViewFactory,4,t
marauroa-3.8.1,marauroa.server.game.db.DatabaseFactory,3,t
marauroa-3.8.1,marauroa.server.game.db.DAORegister,6,t
marauroa-3.8.1,marauroa.server.db.TransactionPool,3,t
oscache-2.3,com.opensymphony.oscache.plugins.clustersupport.JMS10BroadcastingListener,1,t
oscache-2.3,com.opensymphony.oscache.plugins.clustersupport.JMSBroadcastingListener,6,t
quickserver-1.4.7,org.quickserver.net.server.QuickServer,1,t
quilt-0.6-a-5,org.quilt.cl.TestClassFactory,4,t
quilt-0.6-a-5,org.quilt.cl.QuiltClassLoader,9,t
xalan-2.7.1,org.apache.xalan.xsltc.CollatorFactory,3,t
xalan-2.7.1,org.apache.xpath.axes.FilterExprIteratorSimple,9,t
xalan-2.7.1,org.apache.xalan.xsltc.compiler.Sort,2,t
xalan-2.7.1,org.apache.xalan.processor.ProcessorKey,1,t
xalan-2.7.1,org.apache.xpath.axes.WalkingIterator,6,t
xalan-2.7.1,org.apache.xalan.processor.StylesheetHandler,10,t
xalan-2.7.1,org.apache.xalan.processor.ProcessorStylesheetElement,2,t
xalan-2.7.1,org.apache.xalan.processor.ProcessorNamespaceAlias,5,t
xalan-2.7.1,org.apache.xalan.xslt.EnvironmentCheck,12,t
xalan-2.7.1,org.apache.xml.utils.XMLReaderManager,7,t
xalan-2.7.1,org.apache.xpath.jaxp.XPathExpressionImpl,4,t
xalan-2.7.1,org.apache.xalan.xsltc.dom.NodeSortRecordFactory,5,t
xalan-2.7.1,org.apache.xalan.lib.NodeInfo,4,t
xalan-2.7.1,org.apache.xml.serializer.dom3.DOMOutputImpl,7,t
xalan-2.7.1,org.apache.xpath.axes.FilterExprWalker,9,t
xalan-2.7.1,org.apache.xalan.transformer.NodeSorter,2,t
xerces-2.10.0,org.apache.xerces.parsers.IntegratedParserConfiguration,7,t
xerces-2.10.0,org.apache.xerces.parsers.XML11DTDConfiguration,2,t
xerces-2.10.0,org.apache.xerces.parsers.StandardParserConfiguration,10,t
xerces-2.10.0,org.apache.xerces.parsers.AbstractDOMParser,2,t
xerces-2.10.0,org.apache.xerces.jaxp.validation.StreamValidatorHelper,3,t
xerces-2.10.0,org.apache.xml.serialize.Serializer,1,t
xerces-2.10.0,org.apache.xerces.impl.xs.XMLSchemaLoader,4,t
xerces-2.10.0,org.apache.xerces.dom.ElementDefinitionImpl,2,t
xerces-2.10.0,org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl,10,t
xerces-2.10.0,org.apache.xerces.dom.DocumentImpl,13,t
xerces-2.10.0,org.apache.xerces.jaxp.DocumentBuilderImpl,6,t
xerces-2.10.0,org.apache.xerces.dom.CoreDocumentImpl,17,t
xerces-2.10.0,org.apache.xerces.dom.DocumentFragmentImpl,10,t
xerces-2.10.0,org.apache.xerces.dom3.as.ASModel,6,t
xerces-2.10.0,org.apache.xerces.impl.xs.identity.Selector,2,t
xerces-2.10.0,org.apache.xerces.impl.xs.opti.SchemaParsingConfig,10,t
