XMLGrammarLoader; 0; Factory Method; xerces-2.10.0;
XSGrammar; 1; Factory Method; xerces-2.10.0;
XMLEntityResolver; 1; Factory Method; xerces-2.10.0;
DOMImplementationAS; 0; Factory Method; xerces-2.10.0;
SchemaDVFactory; 0; Factory Method; xerces-2.10.0;
AbstractXMLSchema; 0; Factory Method; xerces-2.10.0;
XSWildcard; 0; Factory Method; xerces-2.10.0;
XSModelGroup; 0; Factory Method; xerces-2.10.0;
ElementPSVI; 1; Factory Method; xerces-2.10.0;
XSIDCDefinition; 0; Factory Method; xerces-2.10.0;
XSLoader; 0; Factory Method; xerces-2.10.0;
XSElementDeclaration; 0; Factory Method; xerces-2.10.0;
XSImplementation; 0; Factory Method; xerces-2.10.0;
XSModel; 0; Factory Method; xerces-2.10.0;
XSAttributeGroupDefinition; 0; Factory Method; xerces-2.10.0;
XSNamedMap; 0; Factory Method; xerces-2.10.0;
XSNamespaceItem; 0; Factory Method; xerces-2.10.0;
ErrorHandlerProxy; 1; Factory Method; xerces-2.10.0;
AugmentationsImpl$AugmentationsItemsContainer; 1; Factory Method; xerces-2.10.0;
