projectName; entityName; pattern; metricValue; NOM; NOF; NORM; NSM; NSF; WMC; DIT; NSC; LCOM; SIX; 
axion-1.0-M2; org.axiondb.jdbc.ConnectionFactory; factory; 3; 2.000000; 0.000000; 0.000000; 0.000000; 1.000000; 4.000000; 1.000000; 2.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.Database; factory; 5; 23.000000; 0.000000; 0.000000; 0.000000; 0.000000; 23.000000; 0.000000; 3.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.engine.SnapshotIsolationTransaction; factory; 6; 39.000000; 5.000000; 0.000000; 0.000000; 1.000000; 50.000000; 1.000000; 0.000000; 0.794000; 0.000000; 
axion-1.0-M2; org.axiondb.types.FileLobLocatorFactory; factory; 5; 4.000000; 1.000000; 0.000000; 0.000000; 2.000000; 6.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.engine.MemoryDatabase; factory; 3; 6.000000; 0.000000; 0.000000; 0.000000; 1.000000; 9.000000; 2.000000; 0.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.types.FileOffsetLobLocatorFactory; factory; 6; 3.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.types.LOBType; factory; 6; 22.000000; 3.000000; 6.000000; 0.000000; 0.000000; 57.000000; 2.000000; 1.000000; 0.667000; 0.545000; 
axion-1.0-M2; org.axiondb.engine.MemoryTableFactory; factory; 4; 2.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.engine.DiskDatabase; factory; 3; 12.000000; 1.000000; 0.000000; 0.000000; 2.000000; 45.000000; 2.000000; 0.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.engine.BTreeIndexFactory; factory; 5; 2.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.engine.DiskTableFactory; factory; 4; 2.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.engine.ArrayIndexFactory; factory; 4; 2.000000; 0.000000; 0.000000; 0.000000; 0.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
axion-1.0-M2; org.axiondb.DataTypeFactory; factory; 4; 1.000000; 0.000000; 0.000000; 0.000000; 0.000000; 1.000000; 0.000000; 1.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.collection.TransformedCollection; factory; 5; 5.000000; 1.000000; 2.000000; 1.000000; 1.000000; 8.000000; 3.000000; 4.000000; 0.000000; 1.200000; 
collections-3.2.1; org.apache.commons.collections.map.TypedMap; factory; 4; 1.000000; 0.000000; 0.000000; 1.000000; 0.000000; 2.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.map.MultiValueMap; factory; 6; 15.000000; 2.000000; 5.000000; 3.000000; 0.000000; 40.000000; 2.000000; 0.000000; 0.625000; 0.667000; 
collections-3.2.1; org.apache.commons.collections.map.UnmodifiableOrderedMap; factory; 5; 12.000000; 0.000000; 6.000000; 1.000000; 1.000000; 14.000000; 3.000000; 0.000000; 0.000000; 1.500000; 
collections-3.2.1; org.apache.commons.collections.list.SetUniqueList; factory; 5; 18.000000; 1.000000; 5.000000; 1.000000; 1.000000; 26.000000; 4.000000; 0.000000; 0.000000; 1.111000; 
collections-3.2.1; org.apache.commons.collections.bag.PredicatedSortedBag; factory; 7; 5.000000; 0.000000; 0.000000; 1.000000; 1.000000; 6.000000; 5.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.TestFactoryUtils; factory; 4; 18.000000; 0.000000; 2.000000; 2.000000; 0.000000; 28.000000; 3.000000; 0.000000; 0.000000; 0.333000; 
collections-3.2.1; org.apache.commons.collections.functors.TransformerPredicate; factory; 4; 3.000000; 1.000000; 0.000000; 1.000000; 1.000000; 7.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.ForClosure; factory; 2; 4.000000; 2.000000; 0.000000; 1.000000; 1.000000; 9.000000; 1.000000; 0.000000; 0.333000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.functors.NullPredicate; factory; 3; 2.000000; 0.000000; 0.000000; 1.000000; 2.000000; 3.000000; 1.000000; 0.000000; 0.000000; 0.000000; 
collections-3.2.1; org.apache.commons.collections.list.TransformedList; factory; 5; 12.000000; 0.000000; 0.000000; 1.000000; 1.000000; 13.000000; 4.000000; 0.000000; 0.000000; 0.000000; 
