projectName,entityName,pattern,metricValue,NOM,NOF,NORM,NSM,NSF,WMC,DIT,NSC,LCOM,SIX
axion-1.0-M2,org.axiondb.DataTypeFactory,factory,4,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000
axion-1.0-M2,org.axiondb.engine.SnapshotIsolationTransaction,factory,6,39.000000,5.000000,0.000000,0.000000,1.000000,50.000000,1.000000,0.000000,0.794000,0.000000
collections-3.2.1,org.apache.commons.collections.TestFactoryUtils,factory,4,18.000000,0.000000,2.000000,2.000000,0.000000,28.000000,3.000000,0.000000,0.000000,0.333000
collections-3.2.1,org.apache.commons.collections.functors.NullPredicate,factory,3,2.000000,0.000000,0.000000,1.000000,2.000000,3.000000,1.000000,0.000000,0.000000,0.000000
collections-3.2.1,org.apache.commons.collections.functors.TruePredicate,factory,3,2.000000,0.000000,0.000000,1.000000,2.000000,3.000000,1.000000,0.000000,0.000000,0.000000
collections-3.2.1,org.apache.commons.collections.functors.StringValueTransformer,factory,4,2.000000,0.000000,0.000000,1.000000,2.000000,3.000000,1.000000,0.000000,0.000000,0.000000
collections-3.2.1,org.apache.commons.collections.functors.ExceptionPredicate,factory,3,2.000000,0.000000,0.000000,1.000000,2.000000,3.000000,1.000000,0.000000,0.000000,0.000000
collections-3.2.1,org.apache.commons.collections.iterators.TestUnmodifiableMapIterator,factory,5,9.000000,0.000000,2.000000,1.000000,0.000000,11.000000,7.000000,0.000000,0.000000,1.556000
collections-3.2.1,org.apache.commons.collections.map.TestUnmodifiableMap,factory,5,9.000000,0.000000,5.000000,2.000000,0.000000,12.000000,7.000000,0.000000,0.000000,3.889000
collections-3.2.1,org.apache.commons.collections.list.TypedList,factory,4,1.000000,0.000000,0.000000,1.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000
collections-3.2.1,org.apache.commons.collections.iterators.TestUnmodifiableOrderedMapIterator,factory,6,9.000000,0.000000,2.000000,1.000000,0.000000,11.000000,8.000000,0.000000,0.000000,1.778000
collections-3.2.1,org.apache.commons.collections.TestBagUtils,factory,4,11.000000,3.000000,0.000000,1.000000,0.000000,28.000000,4.000000,0.000000,0.800000,0.000000
collections-3.2.1,org.apache.commons.collections.comparators.TestBooleanComparator,factory,5,14.000000,0.000000,1.000000,1.000000,0.000000,30.000000,6.000000,0.000000,0.000000,0.429000
collections-3.2.1,org.apache.commons.collections.functors.NotNullPredicate,factory,3,2.000000,0.000000,0.000000,1.000000,2.000000,3.000000,1.000000,0.000000,0.000000,0.000000
collections-3.2.1,org.apache.commons.collections.functors.FalsePredicate,factory,3,2.000000,0.000000,0.000000,1.000000,2.000000,3.000000,1.000000,0.000000,0.000000,0.000000
collections-3.2.1,org.apache.commons.collections.list.TestSetUniqueList,factory,5,20.000000,1.000000,6.000000,2.000000,0.000000,30.000000,7.000000,0.000000,0.000000,2.100000
collections-3.2.1,org.apache.commons.collections.iterators.TestUnmodifiableListIterator,factory,5,8.000000,2.000000,3.000000,1.000000,0.000000,10.000000,7.000000,0.000000,1.000000,2.625000
collections-3.2.1,org.apache.commons.collections.iterators.TestUnmodifiableIterator,factory,4,6.000000,2.000000,1.000000,1.000000,0.000000,8.000000,6.000000,0.000000,1.000000,1.000000
collections-3.2.1,org.apache.commons.collections.ListUtils,factory,4,1.000000,0.000000,0.000000,15.000000,1.000000,33.000000,1.000000,0.000000,0.000000,0.000000
collections-3.2.1,org.apache.commons.collections.TestTransformerUtils,factory,4,19.000000,0.000000,2.000000,2.000000,3.000000,48.000000,3.000000,0.000000,0.000000,0.316000
collections-3.2.1,org.apache.commons.collections.map.TestLazySortedMap,factory,6,10.000000,0.000000,4.000000,2.000000,2.000000,14.000000,7.000000,0.000000,0.000000,2.800000
