,Entity's Name,LOC Count,Header Count,Annotation Count,Inner Entities Lines,Total,Entity Type
,/:org.dbunit.database.DatabaseConnection,95,7,0,0,102,CLASS
,/:org.dbunit.database.AmbiguousTableNameException,18,2,0,0,20,CLASS
,/:org.dbunit.database.statement.SimplePreparedStatement,47,8,0,0,55,CLASS
,/:org.dbunit.database.statement.AbstractStatementFactory,14,6,0,0,20,CLASS
,/:org.dbunit.database.statement.IPreparedBatchStatement,9,4,0,0,13,INTERFACE
,/:org.dbunit.database.statement.AutomaticPreparedBatchStatement,46,6,0,0,52,CLASS
,/:org.dbunit.database.statement.AbstractPreparedBatchStatement,15,6,0,0,21,CLASS
,/:org.dbunit.database.statement.SimpleStatement,36,7,0,0,43,CLASS
,/:org.dbunit.database.statement.IBatchStatement,7,2,0,0,9,INTERFACE
,/:org.dbunit.database.statement.AbstractBatchStatement,22,6,0,0,28,CLASS
,/:org.dbunit.database.statement.IStatementFactory,7,3,0,0,10,INTERFACE
,/:org.dbunit.database.statement.PreparedBatchStatement,44,8,0,0,52,CLASS
,/:org.dbunit.database.statement.BatchStatement,29,5,0,0,34,CLASS
,/:org.dbunit.database.statement.CompoundStatement,25,5,0,0,30,CLASS
,/:org.dbunit.database.statement.BatchStatementDecorator,56,10,0,0,66,CLASS
,/:org.dbunit.database.statement.PreparedStatementFactory,36,6,0,0,42,CLASS
,/:org.dbunit.database.statement.StatementFactory,23,5,0,0,28,CLASS
,/:org.dbunit.database.AbstractResultSetTable,97,10,0,0,107,CLASS
,/:org.dbunit.database.ResultSetTableMetaData,173,16,0,0,189,CLASS
,/:org.dbunit.database.PrimaryKeyFilter,278,24,0,120,422,CLASS
,/:org.dbunit.database.PrimaryKeyFilter$FilterIterator,35,0,0,0,35,INNER_CLASS
,/:org.dbunit.database.PrimaryKeyFilter$PkTableMap,85,0,0,0,85,INNER_CLASS
,/:org.dbunit.database.IDatabaseConnection,19,8,0,0,27,INTERFACE
,/:org.dbunit.database.DatabaseTableIterator,39,8,0,0,47,CLASS
,/:org.dbunit.database.DefaultMetadataHandler,94,7,0,0,101,CLASS
,/:org.dbunit.database.ForwardOnlyResultSetTableFactory,41,9,0,0,50,CLASS
,/:org.dbunit.database.DatabaseSequenceFilter,105,16,0,62,183,CLASS
,/:org.dbunit.database.DatabaseSequenceFilter$DependencyInfo,62,0,0,0,62,INNER_CLASS
,/:org.dbunit.database.ForwardOnlyResultSetTable,54,9,0,0,63,CLASS
,/:org.dbunit.database.CachedResultSetTableFactory,31,7,0,0,38,CLASS
,/:org.dbunit.database.IResultSetTableFactory,9,5,0,0,14,INTERFACE
,/:org.dbunit.database.DatabaseTableMetaData,228,21,0,24,273,CLASS
,/:org.dbunit.database.DatabaseTableMetaData$PrimaryKeyData,24,0,0,0,24,INNER_CLASS
,/:org.dbunit.database.DatabaseConfig,288,15,0,81,384,CLASS
,/:org.dbunit.database.DatabaseConfig$ConfigProperty,61,0,0,0,61,INNER_CLASS
,/:org.dbunit.database.DatabaseConfig$Configurator,20,0,0,0,20,INNER_CLASS
,/:org.dbunit.database.CyclicTablesDependencyException,14,3,0,0,17,CLASS
,/:org.dbunit.database.CachedResultSetTable,28,6,0,0,34,CLASS
,/:org.dbunit.database.QueryDataSet,45,10,0,18,73,CLASS
,/:org.dbunit.database.QueryDataSet$TableEntry,18,0,0,0,18,INNER_CLASS
,/:org.dbunit.database.IResultSetTable,4,3,0,0,7,INTERFACE
,/:org.dbunit.database.IMetadataHandler,16,4,0,0,20,INTERFACE
,/:org.dbunit.database.DatabaseDataSourceConnection,88,8,0,0,96,CLASS
,/:org.dbunit.database.AbstractDatabaseConnection,107,15,0,0,122,CLASS
,/:org.dbunit.database.PrimaryKeyFilteredTableWrapper,56,10,0,0,66,CLASS
,/:org.dbunit.database.DatabaseDataSet,186,21,0,18,225,CLASS
,/:org.dbunit.database.DatabaseDataSet$OracleRecycleBinTableFilter,18,0,0,0,18,INNER_CLASS
,/:org.dbunit.database.QueryTableIterator,81,10,0,0,91,CLASS
,/:org.dbunit.database.search.ImportedKeysSearchCallback,11,6,0,0,17,CLASS
,/:org.dbunit.database.search.ImportedKeysSearchCallbackFilteredByPKs,25,10,0,0,35,CLASS
,/:org.dbunit.database.search.ForeignKeyRelationshipEdge,47,2,0,0,49,CLASS
,/:org.dbunit.database.search.ImportedAndExportedKeysSearchCallback,13,6,0,0,19,CLASS
,/:org.dbunit.database.search.ExportedKeysSearchCallback,11,6,0,0,17,CLASS
,/:org.dbunit.database.search.AbstractMetaDataBasedSearchCallback,132,18,0,0,150,CLASS
,/:org.dbunit.database.search.FKRelationshipEdge,18,2,0,0,20,CLASS
,/:org.dbunit.database.search.TablesDependencyHelper,116,15,0,0,131,CLASS
,/:org.dbunit.database.search.ImportedAndExportedKeysSearchCallbackFilteredByPKs,30,10,0,0,40,CLASS
,/:org.dbunit.database.ScrollableResultSetTable,83,8,0,0,91,CLASS
,/:org.dbunit.PropertiesBasedJdbcDatabaseTester,17,1,0,0,18,CLASS
,/:org.dbunit.AbstractDatabaseTester,117,8,0,11,136,CLASS
,/:org.dbunit.AbstractDatabaseTester$OperationType,11,0,0,0,11,INNER_CLASS
,/:org.dbunit.ext.hsqldb.HsqldbDataTypeFactory,19,8,0,0,27,CLASS
,/:org.dbunit.ext.hsqldb.HsqldbConnection,9,5,0,0,14,CLASS
,/:org.dbunit.ext.mysql.MySqlMetadataHandler,79,8,0,0,87,CLASS
,/:org.dbunit.ext.mysql.MySqlConnection,11,5,0,0,16,CLASS
,/:org.dbunit.ext.mysql.MySqlDataTypeFactory,40,9,0,0,49,CLASS
,/:org.dbunit.ext.postgresql.PostgresqlDataTypeFactory,34,9,0,0,43,CLASS
,/:org.dbunit.ext.postgresql.UuidType,41,13,0,0,54,CLASS
,/:org.dbunit.ext.postgresql.GenericEnumType,53,13,0,0,66,CLASS
,/:org.dbunit.ext.postgresql.IntervalType,36,12,0,0,48,CLASS
,/:org.dbunit.ext.postgresql.InetType,41,13,0,0,54,CLASS
,/:org.dbunit.ext.mssql.MsSqlDataTypeFactory,25,8,0,0,33,CLASS
,/:org.dbunit.ext.mssql.MsSqlConnection,30,13,0,0,43,CLASS
,/:org.dbunit.ext.mssql.InsertIdentityOperation,121,21,0,0,142,CLASS
,/:org.dbunit.ext.netezza.NetezzaMetadataHandler,74,8,0,0,82,CLASS
,/:org.dbunit.ext.netezza.NetezzaDataTypeFactory,77,6,0,0,83,CLASS
,/:org.dbunit.ext.db2.Db2DataTypeFactory,36,10,0,0,46,CLASS
,/:org.dbunit.ext.db2.Db2MetadataHandler,51,8,0,0,59,CLASS
,/:org.dbunit.ext.db2.Db2Connection,11,5,0,0,16,CLASS
,/:org.dbunit.ext.oracle.OracleSdoOrdinateArray,108,10,0,0,118,CLASS
,/:org.dbunit.ext.oracle.OracleSdoPointType,97,9,0,0,106,CLASS
,/:org.dbunit.ext.oracle.OracleSdoGeometry,121,9,0,0,130,CLASS
,/:org.dbunit.ext.oracle.OracleConnection,9,5,0,0,14,CLASS
,/:org.dbunit.ext.oracle.OracleClobDataType,61,11,0,0,72,CLASS
,/:org.dbunit.ext.oracle.OracleDataTypeFactory,79,11,0,0,90,CLASS
,/:org.dbunit.ext.oracle.OracleXMLTypeDataType,21,10,0,0,31,CLASS
,/:org.dbunit.ext.oracle.Oracle10DataTypeFactory,20,8,0,0,28,CLASS
,/:org.dbunit.ext.oracle.OracleSdoElemInfoArray,108,10,0,0,118,CLASS
,/:org.dbunit.ext.oracle.OracleBlobDataType,60,12,0,0,72,CLASS
,/:org.dbunit.ext.oracle.OracleNClobDataType,13,7,0,0,20,CLASS
,/:org.dbunit.ext.oracle.OracleSdoHelper,43,2,0,0,45,CLASS
,/:org.dbunit.ext.oracle.OracleSdoGeometryDataType,216,17,0,0,233,CLASS
